COMMUNICATION,QUALITY,PRICING,RESPECTING DEADLINES,ACCESIBILITY,MEETING EXPECTATIONS,EFFECTIVITY,CLASS
1,4,3,4,5,2,55.8806,0
2,6,2,6,2,1,55.88,0
3,1,1,1,2,4,35.296499999999995,0
4,2,3,4,5,3,61.7655,1
3,10,4,2,2,2,67.64529999999999,1
1,6,3,5,2,2,55.88,0
3,8,3,3,2,2,61.763400000000004,1
3,6,1,3,2,3,52.941199999999995,0
2,6,2,5,4,3,64.70450000000001,1
4,2,4,4,1,3,52.942099999999996,0
3,3,3,4,2,3,52.9414,0
1,9,2,2,3,1,52.9385,0
2,1,1,4,2,4,41.1775,0
2,2,3,5,3,2,49.9992,0
1,9,1,7,1,1,58.8198,0
1,9,2,7,1,4,70.5856,1
4,9,3,5,3,1,73.5273,1
2,10,1,3,5,4,73.528,1
3,2,1,3,3,2,41.1771,0
3,2,3,6,4,2,58.822900000000004,0
4,7,1,7,3,4,76.4701,1
2,5,4,2,5,4,64.7056,1
1,9,4,3,5,1,67.64359999999999,1
3,6,2,3,3,1,52.94010000000001,0
1,1,4,5,1,3,44.117000000000004,0
4,9,3,6,1,1,70.586,1
1,5,4,4,5,2,61.7625,1
2,10,1,2,4,1,58.821200000000005,0
1,2,4,2,3,3,44.11739999999999,0
4,5,1,5,4,1,58.8228,0
3,2,1,6,5,3,58.8236,0
3,3,1,6,4,3,58.82340000000001,0
2,10,3,6,3,4,82.35050000000001,1
1,2,2,7,3,4,55.8815,0
3,1,4,7,5,4,70.5882,1
4,4,2,4,1,4,55.8835,0
1,1,3,4,4,4,50.0,0
2,8,1,2,3,2,52.93990000000001,0
1,5,4,3,2,3,52.939899999999994,0
4,6,2,6,4,4,76.47040000000001,1
3,5,2,7,5,3,73.5282,1
1,7,4,7,3,2,70.5848,1
1,4,4,4,5,4,64.7048,1
3,2,1,5,3,2,47.05890000000001,0
4,2,4,5,5,4,70.589,1
3,10,4,3,2,2,70.58619999999999,1
2,10,2,4,1,1,58.8207,0
4,3,4,2,2,1,47.059099999999994,0
2,8,3,1,2,1,49.9983,0
2,6,2,6,5,4,73.52810000000001,1
1,4,1,3,3,1,38.2339,0
3,9,1,5,4,1,67.64469999999999,1
4,9,4,2,2,1,64.70449999999998,1
2,4,4,6,2,2,58.821799999999996,0
4,7,2,7,3,3,76.4695,1
3,4,1,7,3,2,58.822500000000005,0
3,8,2,5,3,1,64.7037,1
1,3,1,7,2,3,49.9987,0
1,8,3,3,2,4,61.7632,1
1,6,3,2,4,1,49.99790000000001,0
4,8,3,3,5,4,79.4116,1
2,7,4,3,5,1,64.70349999999999,1
4,8,4,2,2,4,70.5884,1
1,2,2,5,3,4,49.999700000000004,0
4,6,2,2,1,3,52.941900000000004,0
2,9,3,2,4,1,61.7623,1
4,6,2,7,2,3,70.5875,1
3,2,1,4,2,2,41.1769,0
2,4,3,1,1,3,41.1768,0
1,9,4,4,2,2,64.7028,1
4,8,2,6,2,1,67.64519999999999,1
3,3,1,1,5,1,41.1768,0
2,5,1,6,4,4,64.7051,1
2,9,1,5,3,4,70.58670000000001,1
1,7,3,1,4,4,58.8227,0
1,8,1,7,5,1,67.6433,1
4,8,4,5,3,1,73.52739999999999,1
1,2,4,6,3,4,58.82260000000001,0
2,1,1,4,3,2,38.2354,0
2,10,1,5,3,3,70.586,1
3,4,1,3,2,2,44.1178,0
2,2,4,4,1,1,41.1755,0
2,8,4,7,4,1,76.4669,1
2,7,3,7,3,2,70.58550000000001,1
1,6,3,6,4,3,67.64470000000001,1
3,7,4,3,2,4,67.6467,1
1,10,3,6,3,3,76.46719999999999,1
3,2,4,2,2,1,41.1765,0
3,9,1,1,2,4,58.8237,0
3,7,3,4,4,2,67.6456,1
3,4,2,1,2,4,47.060199999999995,0
4,10,4,5,4,3,88.23349999999998,1
4,1,4,4,4,3,58.8245,0
3,9,4,3,4,1,70.58589999999998,1
3,10,4,6,2,4,85.29209999999999,1
3,2,1,3,5,3,50.0009,0
4,5,4,3,3,4,67.6477,1
3,3,2,2,5,4,55.8835,0
2,4,4,4,4,4,64.7054,1
4,8,3,5,5,2,79.4102,1
2,9,2,6,4,2,73.5265,1
3,5,2,6,2,4,64.7056,1
3,5,2,1,5,2,52.9412,0
3,10,1,6,5,3,82.3508,1
1,6,1,1,1,4,41.176500000000004,0
2,8,4,5,4,1,70.58509999999998,1
4,7,3,4,1,1,58.8224,0
2,4,3,1,1,3,41.1768,0
3,5,2,3,1,1,44.117000000000004,0
4,3,4,3,5,3,64.70649999999999,1
1,6,2,2,2,2,44.1163,0
1,2,1,2,2,2,29.411699999999996,0
3,10,3,2,1,3,64.70479999999999,1
2,5,3,5,2,4,61.763999999999996,1
2,4,3,3,2,1,44.116499999999995,0
1,4,2,2,5,2,47.0578,0
2,8,4,6,3,1,70.58489999999999,1
2,3,2,7,2,2,52.939800000000005,0
4,9,2,3,3,4,73.5293,1
2,4,2,7,1,1,49.998,0
1,4,4,6,2,3,58.82169999999999,0
3,6,4,7,4,4,82.3516,1
4,9,2,6,5,1,79.40939999999999,1
1,1,2,6,3,4,49.999700000000004,0
1,4,4,2,1,1,38.2338,0
4,10,4,4,4,2,82.35099999999998,1
3,10,4,1,3,2,67.6455,1
3,2,2,7,2,4,58.823800000000006,0
2,3,1,6,4,1,49.99850000000001,0
1,6,3,2,5,2,55.88060000000001,0
4,8,1,7,3,3,76.4694,1
4,10,2,5,4,4,85.2931,1
1,2,4,7,2,2,52.9392,0
2,8,2,5,3,2,64.70360000000001,1
1,4,4,5,5,3,64.7041,1
2,5,4,4,1,3,55.8814,0
3,1,4,1,4,2,44.1185,0
2,9,3,5,1,1,61.761700000000005,1
1,10,3,7,3,2,76.4665,1
4,4,1,2,4,2,50.000800000000005,0
2,10,1,3,5,4,73.528,1
1,9,2,6,1,2,61.761500000000005,1
4,2,1,6,1,1,44.1177,0
1,10,4,5,5,2,79.4079,1
3,9,1,3,3,4,67.6466,1
1,10,1,7,2,2,67.6434,1
3,10,2,7,4,2,82.35,1
1,1,2,6,1,1,35.2927,0
2,3,2,4,4,2,49.999300000000005,0
3,8,4,3,5,1,70.58609999999999,1
2,4,1,1,1,2,32.353199999999994,0
2,8,3,5,3,1,64.703,1
1,1,2,3,2,4,38.2359,0
2,8,1,1,4,1,49.99850000000001,0
4,3,4,6,1,3,61.764799999999994,1
1,2,1,4,4,3,44.1173,0
3,4,3,3,1,3,50.000299999999996,0
1,9,3,4,2,3,64.70339999999999,1
3,10,3,4,1,1,64.7034,1
3,7,1,6,5,3,73.52810000000001,1
2,6,3,6,2,2,61.762600000000006,1
3,1,3,2,4,3,47.06,0
4,5,3,2,3,1,52.940999999999995,0
2,10,2,1,3,4,64.705,1
2,10,3,2,2,4,67.6458,1
3,2,1,1,5,2,41.1775,0
4,9,3,4,5,1,76.4686,1
1,7,1,5,2,3,55.8805,0
2,1,2,5,5,1,47.057900000000004,0
1,1,4,6,3,3,52.9401,0
1,4,3,2,1,2,38.2344,0
1,7,1,4,1,1,44.115300000000005,0
4,2,4,7,1,1,55.881600000000006,0
4,2,2,5,1,3,50.001000000000005,0
4,6,2,2,1,3,52.941900000000004,0
2,2,2,4,2,2,41.1762,0
4,3,2,4,3,3,55.8832,0
2,5,4,5,5,2,67.6451,1
2,9,3,7,5,2,82.3495,1
3,7,4,3,1,3,61.763999999999996,1
3,7,3,2,2,3,58.8232,0
4,5,2,4,5,4,70.5888,1
3,5,1,3,2,1,44.1171,0
2,3,4,1,5,3,52.9413,0
1,4,4,6,1,2,52.939,0
3,4,1,2,1,4,44.119,0
1,9,3,7,3,2,73.5256,1
1,2,2,7,4,3,55.881,0
3,1,1,6,2,2,44.1178,0
3,8,1,3,1,1,49.9987,0
1,9,4,7,2,1,70.5839,1
3,10,4,1,4,4,76.46979999999999,1
3,5,1,2,5,4,58.824299999999994,0
1,4,2,4,1,1,38.233599999999996,0
2,9,1,7,5,1,73.52590000000001,1
2,3,1,4,5,1,47.05780000000001,0
4,7,3,4,5,4,79.4116,1
3,4,1,3,2,4,50.001000000000005,0
3,1,3,5,1,2,44.117799999999995,0
2,6,2,5,3,2,58.82180000000001,0
3,3,2,3,4,3,52.94170000000001,0
2,5,2,3,5,3,58.82289999999999,0
3,2,1,6,2,3,50.000299999999996,0
3,2,4,4,5,3,61.764799999999994,1
1,6,3,2,4,2,52.93950000000001,0
4,8,1,3,4,4,70.5885,1
2,9,1,6,4,2,70.58550000000001,1
4,1,1,4,3,4,50.001999999999995,0
4,2,4,5,1,4,58.824600000000004,0
3,1,2,7,1,3,50.00019999999999,0
4,7,1,2,1,2,50.0002,0
1,5,3,3,2,2,47.0573,0
2,8,2,6,3,1,64.7029,1
2,6,1,6,1,2,52.9395,0
1,4,3,7,5,4,70.5865,1
1,1,2,5,3,2,41.1756,0
1,2,2,6,1,4,47.058400000000006,0
2,3,1,2,3,2,38.2354,0
1,1,1,5,3,2,38.2346,0
1,4,4,6,5,4,70.5866,1
4,2,1,6,5,4,64.7069,1
3,7,2,1,4,4,61.765100000000004,1
4,8,1,5,1,3,64.7054,1
3,5,4,2,5,3,64.7057,1
2,2,4,3,5,2,52.9406,0
2,8,3,6,2,1,64.7028,1
1,4,3,5,3,2,52.9393,0
4,6,3,4,4,3,70.58800000000001,1
1,10,3,3,1,4,64.70389999999999,1
3,7,3,6,1,3,67.6457,1
2,7,3,1,3,1,49.9985,0
3,6,1,2,5,4,61.76520000000001,1
2,9,4,6,3,2,76.4674,1
3,10,1,3,2,4,67.6464,1
4,6,2,6,1,4,67.64710000000001,1
2,5,4,1,3,2,49.999300000000005,0
2,3,1,2,5,4,50.0008,0
2,5,2,6,1,1,49.998,0
2,10,4,2,5,2,73.5269,1
2,8,3,7,3,4,79.40960000000001,1
3,4,2,7,4,3,67.64620000000001,1
4,10,3,1,5,3,76.46999999999998,1
2,7,4,3,3,1,58.8213,0
3,5,1,4,3,3,55.8823,0
1,10,1,3,1,3,55.880300000000005,0
2,7,4,6,5,3,79.40939999999999,1
1,6,4,7,4,4,76.46820000000001,1
3,7,1,6,2,4,67.6464,1
4,7,2,6,2,4,73.5291,1
4,5,4,4,5,2,70.5876,1
4,9,2,7,2,1,73.52699999999999,1
4,2,3,5,2,4,58.82470000000001,0
4,2,3,4,1,1,44.117900000000006,0
3,7,2,5,1,3,61.7638,1
2,3,1,6,3,1,47.05740000000001,0
2,7,3,4,4,4,70.5871,1
4,4,4,1,3,1,50.0002,0
3,10,4,6,1,1,73.52619999999999,1
2,4,4,4,1,1,47.0573,0
1,2,4,1,2,4,41.177,0
1,4,2,5,2,1,44.11559999999999,0
2,2,4,1,1,2,35.294399999999996,0
3,9,2,6,4,3,79.40979999999999,1
2,4,2,7,3,1,55.880199999999995,0
4,10,2,6,2,3,79.41019999999999,1
3,9,1,1,4,1,55.8811,0
3,6,3,5,1,3,61.76390000000001,1
2,1,3,2,3,1,35.294000000000004,0
2,2,1,1,2,4,35.2957,0
3,1,2,5,5,3,55.88279999999999,0
1,8,4,7,2,2,70.58460000000001,1
2,10,1,7,1,1,64.7024,1
3,3,4,2,1,3,47.0595,0
2,3,3,6,5,3,64.7048,1
4,1,2,1,2,3,38.2376,0
2,7,4,3,2,2,58.821799999999996,0
2,2,1,5,5,1,47.0578,0
2,3,3,1,5,1,44.1171,0
1,6,4,3,2,1,49.9976,0
4,8,2,6,4,4,82.3522,1
1,7,4,2,2,1,49.9976,0
2,6,4,5,4,3,70.5865,1
2,5,3,3,1,2,47.0579,0
2,10,4,6,2,3,79.40879999999999,1
4,1,1,7,3,4,58.82470000000001,0
1,2,4,7,3,4,61.76350000000001,1
4,5,2,3,2,3,55.882999999999996,0
4,6,4,5,2,3,70.5877,1
4,9,4,3,1,4,73.52909999999999,1
2,8,3,7,5,1,76.467,1
2,9,2,6,1,1,61.7616,1
4,5,2,7,1,4,67.6471,1
3,5,2,5,4,3,64.70530000000001,1
4,7,1,6,3,1,64.70439999999999,1
2,8,1,7,2,2,64.7033,1
2,10,1,5,3,2,67.6444,1
3,3,3,7,4,4,70.5879,1
4,2,4,2,1,3,47.0603,0
2,10,1,2,4,4,67.646,1
2,3,2,2,2,4,44.1185,0
4,6,1,4,3,4,64.7065,1
4,7,4,1,1,4,61.76549999999999,1
1,8,3,2,2,1,49.997499999999995,0
1,7,3,1,3,3,52.94,0
1,4,1,1,3,3,38.235299999999995,0
4,4,1,4,4,3,58.824200000000005,0
2,6,4,2,4,1,55.8806,0
4,7,1,1,3,2,52.941500000000005,0
3,3,3,6,1,1,49.998900000000006,0
3,5,2,7,2,3,64.7049,1
2,7,1,4,1,2,49.9986,0
1,4,2,2,3,4,47.058800000000005,0
2,4,4,5,1,4,58.82299999999999,0
3,8,3,7,3,1,73.5265,1
3,9,1,7,5,3,82.3508,1
1,4,2,5,2,2,47.057199999999995,0
4,3,1,1,4,4,50.0022,0
3,10,1,6,2,2,70.58590000000001,1
3,9,4,7,5,2,88.23219999999999,1
1,1,1,3,1,1,23.529,0
3,10,3,4,5,3,82.351,1
2,1,1,6,1,3,41.17660000000001,0
4,9,1,4,5,2,73.5282,1
4,2,2,1,3,1,38.236399999999996,0
2,9,2,2,3,3,61.76339999999999,1
3,6,2,5,3,4,67.64670000000001,1
2,4,1,6,5,4,64.70530000000001,1
2,6,3,7,5,2,73.52680000000001,1
3,3,3,3,4,4,58.82430000000001,0
3,9,4,5,3,4,82.3514,1
3,3,3,3,5,4,61.7654,1
1,5,2,6,5,2,61.7623,1
1,7,4,7,2,3,70.5853,1
2,7,2,3,2,1,49.998200000000004,0
3,7,3,3,3,4,67.64680000000001,1
2,8,2,7,5,2,76.4676,1
2,8,4,2,3,1,58.8213,0
3,4,4,5,3,3,64.7053,1
1,7,4,1,5,4,64.7048,1
2,10,4,3,4,2,73.52669999999999,1
4,2,4,7,3,4,70.58860000000001,1
1,8,2,1,4,3,55.881,0
3,10,3,5,1,2,70.58590000000001,1
4,4,2,7,5,1,67.6458,1
2,4,4,6,1,1,52.939099999999996,0
2,9,3,3,3,1,61.76210000000001,1
4,2,4,6,1,4,61.7655,1
2,6,3,1,5,1,52.939800000000005,0
3,8,4,4,3,4,76.4696,1
2,4,2,1,4,1,41.1759,0
4,4,3,6,2,1,58.8226,0
2,9,3,2,4,3,67.6455,1
2,8,4,2,1,3,58.8223,0
3,4,1,3,4,2,50.00000000000001,0
3,5,3,3,5,4,67.6472,1
3,5,2,6,5,1,64.7041,1
2,4,2,6,4,4,64.7052,1
1,1,2,6,4,4,52.94080000000001,0
1,3,1,4,3,1,38.2339,0
3,10,2,4,3,3,73.5278,1
1,5,4,6,3,1,58.8205,0
4,8,1,7,1,4,73.5288,1
4,6,3,2,3,1,55.88190000000001,0
2,6,1,4,5,1,55.880500000000005,0
1,3,4,2,2,3,44.1172,0
4,6,2,3,3,2,58.82340000000001,0
3,5,3,6,4,2,67.6456,1
4,4,2,7,3,1,61.763600000000004,1
1,2,3,6,1,2,44.1162,0
4,4,1,6,2,1,52.940599999999996,0
3,9,3,7,4,1,79.40849999999999,1
1,10,3,5,5,2,76.4669,1
1,6,2,5,5,2,61.76230000000001,1
4,1,1,6,3,1,47.059000000000005,0
2,5,3,2,1,3,47.0586,0
2,10,1,2,4,1,58.821200000000005,0
3,8,4,3,4,4,76.46979999999999,1
2,10,4,6,4,1,79.40779999999998,1
3,5,4,4,5,2,67.6459,1
4,10,4,1,5,1,73.52779999999998,1
2,4,3,2,2,1,41.175599999999996,0
1,1,1,7,3,3,47.05799999999999,0
4,8,1,5,5,4,79.4114,1
3,9,4,6,1,2,73.5269,1
1,7,4,2,2,4,58.8224,0
4,5,4,7,2,4,76.4702,1
4,10,4,2,5,4,85.2935,1
2,1,1,4,1,1,29.4116,0
4,6,4,1,1,4,58.824600000000004,0
3,4,4,3,1,2,49.9997,0
2,6,1,6,4,1,58.821200000000005,0
1,1,4,3,1,4,41.1768,0
4,6,4,4,4,4,76.4706,1
2,1,1,4,3,3,41.17699999999999,0
2,9,4,6,5,3,85.29119999999999,1
1,10,3,1,2,4,61.7632,1
3,8,4,5,3,1,70.58569999999999,1
3,5,4,5,2,3,64.70509999999999,1
4,1,3,6,5,1,58.82320000000001,0
3,7,3,1,4,3,61.7645,1
3,3,2,4,4,4,58.824200000000005,0
2,7,2,4,1,2,52.939600000000006,0
2,8,1,5,1,1,52.9388,0
4,6,1,7,5,4,79.41140000000001,1
1,8,3,1,1,2,47.0571,0
1,9,4,4,4,1,67.64339999999999,1
4,5,4,5,3,4,73.5295,1
3,2,1,7,2,4,55.8828,0
4,10,2,7,4,4,91.1749,1
2,8,3,5,2,3,67.6451,1
3,5,2,2,5,3,58.8237,0
2,8,3,3,4,2,64.7039,1
3,2,3,5,5,1,55.881499999999996,0
4,6,4,1,1,2,52.9414,0
2,7,3,6,2,1,61.761900000000004,1
1,4,4,5,1,1,47.0565,0
1,1,1,4,1,1,26.4699,0
1,8,2,3,3,4,61.763300000000015,1
4,6,2,3,2,2,55.8823,0
1,9,2,1,5,2,58.821400000000004,0
4,1,1,7,4,2,55.882600000000004,0
1,9,3,3,4,1,61.7615,1
1,6,4,3,5,2,61.7625,1
2,5,1,1,5,4,52.9417,0
1,6,1,4,2,1,44.115500000000004,0
4,2,2,6,3,3,58.8241,0
1,6,3,7,3,3,67.64450000000001,1
2,3,4,1,2,1,38.2348,0
2,7,1,2,3,4,55.88220000000001,0
4,9,3,2,5,4,79.41159999999999,1
3,10,3,1,4,2,67.6456,1
3,1,1,4,1,1,32.3533,0
4,6,3,2,5,4,70.58890000000001,1
2,7,2,3,2,4,58.82300000000001,0
3,7,3,1,2,4,58.823899999999995,0
4,4,3,2,4,4,61.766000000000005,1
4,6,3,3,5,4,73.52980000000001,1
4,9,1,2,4,4,70.5885,1
3,10,3,6,4,4,88.2333,1
2,9,3,6,2,1,67.6437,1
3,3,1,7,2,3,55.882099999999994,0
1,1,1,6,4,4,49.99980000000001,0
2,2,2,6,3,1,47.0575,0
3,6,3,5,2,3,64.705,1
3,5,2,6,2,1,55.8808,0
1,10,1,4,5,4,73.52720000000001,1
3,2,3,5,4,1,52.9404,0
3,4,1,4,3,4,55.88300000000001,0
3,10,3,3,3,2,70.58630000000001,1
4,4,2,6,2,2,58.8232,0
1,10,3,6,2,4,76.46770000000001,1
2,10,2,5,1,4,70.5864,1
1,3,2,6,3,4,55.8815,0
3,7,1,4,4,2,61.763600000000004,1
2,3,1,3,2,1,35.293600000000005,0
3,4,2,7,2,2,58.8224,0
2,7,3,5,5,2,70.58590000000001,1
4,6,1,1,3,3,52.9422,0
3,4,4,7,5,2,73.5277,1
3,4,3,2,1,4,50.001000000000005,0
1,7,2,3,3,1,49.99760000000001,0
2,9,3,2,4,2,64.7039,1
2,4,3,3,2,4,52.9413,0
2,1,3,1,2,1,29.412000000000003,0
2,3,1,1,4,1,35.294000000000004,0
1,10,1,5,5,2,70.5849,1
3,7,4,3,4,1,64.7041,1
1,4,1,6,5,2,55.88040000000001,0
2,5,4,5,3,4,67.6461,1
2,10,4,5,3,3,79.40899999999999,1
2,9,4,4,5,1,73.52619999999999,1
1,5,2,2,2,2,41.175399999999996,0
3,9,1,2,3,3,61.7641,1
2,7,4,5,1,2,61.762499999999996,1
3,7,2,6,2,2,64.7042,1
3,1,4,2,5,2,50.0005,0
4,1,2,2,1,3,38.237399999999994,0
3,4,3,5,4,3,64.7054,1
1,6,2,2,1,4,47.058400000000006,0
2,8,2,5,1,4,64.7046,1
4,2,2,1,3,4,47.0612,0
2,9,4,7,4,4,88.23259999999999,1
4,4,2,2,5,2,55.8829,0
3,3,1,5,3,3,52.9414,0
3,3,3,5,5,3,64.7056,1
1,7,3,1,2,2,47.0573,0
3,9,4,3,3,1,67.64479999999999,1
3,10,4,4,1,3,73.52759999999999,1
3,4,1,2,5,4,55.883399999999995,0
3,4,3,3,5,3,61.764700000000005,1
2,1,4,5,5,4,61.764700000000005,1
4,1,3,6,2,1,49.999900000000004,0
2,2,2,3,2,4,44.1185,0
2,6,1,1,3,2,44.117200000000004,0
1,9,4,7,1,1,67.6428,1
4,4,2,6,2,1,55.8816,0
2,7,1,5,1,3,55.8811,0
2,2,3,2,5,3,50.000299999999996,0
2,6,4,6,1,3,64.7041,1
1,5,2,1,1,2,35.2934,0
4,1,4,1,4,1,44.1186,0
4,7,2,3,1,1,52.9405,0
3,1,1,6,1,3,44.118300000000005,0
3,5,3,6,1,3,61.76389999999999,1
1,1,3,1,5,1,35.293600000000005,0
2,9,2,4,3,1,61.76200000000001,1
1,8,3,7,2,3,70.5852,1
3,7,1,1,1,4,50.0008,0
2,6,1,6,1,2,52.9395,0
4,2,3,3,3,2,50.00080000000001,0
4,1,4,7,5,2,67.6467,1
4,5,2,2,3,3,55.88319999999999,0
4,8,1,1,3,1,52.9408,0
1,6,1,4,4,4,58.822500000000005,0
4,9,2,2,4,4,73.5295,1
1,4,1,2,4,1,38.234100000000005,0
4,10,1,3,2,4,70.5881,1
4,3,4,6,2,3,64.7059,1
4,4,4,4,1,1,52.94069999999999,0
4,9,3,6,1,2,73.5276,1
3,4,4,2,5,4,64.7064,1
4,3,1,6,4,1,55.8819,0
1,10,1,1,5,1,55.8797,0
3,5,4,5,5,2,70.5868,1
1,3,1,4,4,4,49.99980000000001,0
1,8,3,3,3,4,64.7043,1
2,2,2,2,3,4,44.118700000000004,0
4,4,4,6,2,3,67.6468,1
2,2,2,4,1,2,38.2351,0
4,1,1,2,3,1,35.295399999999994,0
2,5,2,6,4,1,58.8213,0
2,9,2,3,4,2,64.7038,1
2,3,4,5,3,4,61.764300000000006,1
4,10,2,2,5,3,76.46989999999998,1
1,4,3,7,5,1,61.761700000000005,1
2,7,3,5,4,2,67.6448,1
4,4,1,1,5,1,47.059400000000004,0
3,10,4,6,3,3,85.29159999999999,1
3,5,3,6,5,4,76.4699,1
4,1,4,7,3,4,67.6477,1
2,8,3,7,5,1,76.467,1
1,9,3,1,2,2,52.939099999999996,0
4,7,1,4,4,3,67.6469,1
3,3,4,4,2,2,52.940799999999996,0
2,8,3,5,3,1,64.703,1
4,6,3,2,5,2,64.70570000000001,1
4,10,4,5,2,1,76.46809999999998,1
4,9,2,6,2,4,79.4109,1
3,9,4,4,2,2,70.58619999999999,1
1,9,4,4,2,2,64.7028,1
1,2,3,3,5,4,52.941100000000006,0
1,6,4,7,3,1,64.7023,1
1,10,4,7,4,1,79.40699999999998,1
3,10,3,7,2,2,79.4088,1
1,3,4,6,3,1,52.938700000000004,0
3,1,4,6,5,3,64.7057,1
2,3,2,4,5,1,49.9988,0
4,3,2,6,3,2,58.82340000000001,0
1,5,3,7,3,4,67.6452,1
1,1,4,4,1,3,41.176100000000005,0
3,6,1,1,4,2,50.00000000000001,0
2,7,3,5,3,1,61.76210000000001,1
4,6,1,1,3,4,55.88380000000001,0
2,9,2,3,3,3,64.7043,1
4,10,2,5,4,1,76.46829999999999,1
2,6,4,3,4,1,58.8215,0
2,6,4,3,2,4,61.7641,1
2,3,1,4,1,4,44.1182,0
4,2,4,2,4,4,58.82520000000001,0
3,7,3,3,3,1,58.82200000000001,0
4,2,2,1,2,1,35.2953,0
1,7,3,5,5,1,64.70259999999999,1
3,3,1,7,4,2,58.822700000000005,0
1,7,3,3,2,4,58.8223,0
2,7,3,2,1,1,47.0572,0
4,7,3,3,2,2,61.7642,1
3,10,4,6,4,1,82.34949999999998,1
3,4,3,3,4,3,58.8236,0
4,4,1,5,2,2,52.9413,0
2,8,2,2,5,4,67.6463,1
1,4,1,5,5,3,55.8811,0
3,7,1,7,3,1,64.7036,1
1,4,3,7,3,4,64.7043,1
3,8,2,7,3,3,76.4687,1
4,4,4,5,1,3,61.764799999999994,1
1,5,1,2,2,3,41.176,0
2,4,3,2,4,1,47.0578,0
1,4,4,7,2,1,55.8794,0
1,6,4,3,3,3,58.8219,0
2,9,4,1,4,3,67.6456,1
4,10,4,7,3,3,91.17419999999998,1
4,5,3,4,5,2,67.6466,1
2,3,1,1,2,4,38.2366,0
1,1,3,1,5,2,38.235200000000006,0
2,10,2,3,2,2,61.7625,1
1,2,1,1,4,4,38.2362,0
3,2,1,5,4,2,50.00000000000001,0
2,3,1,5,5,3,55.8819,0
1,7,3,1,4,4,58.8227,0
1,3,3,5,3,3,52.94,0
4,3,3,1,3,3,50.00149999999999,0
2,9,4,3,5,2,73.5269,1
3,2,1,4,3,4,50.0012,0
4,8,1,6,2,4,73.529,1
4,4,2,5,5,4,70.5888,1
1,9,2,1,4,2,55.880300000000005,0
1,10,4,4,3,2,70.5848,1
1,7,3,3,3,3,58.821799999999996,0
2,1,3,1,4,4,44.119,0
1,4,2,2,5,3,49.999399999999994,0
4,3,3,6,4,2,64.7055,1
2,8,2,3,3,3,61.763400000000004,1
2,3,3,3,1,1,38.2345,0
4,3,2,7,4,3,67.647,1
3,5,2,2,4,3,55.8826,0
2,6,4,6,1,4,67.6457,1
3,8,1,3,1,2,52.9403,0
3,8,3,5,2,4,73.5284,1
4,4,4,5,4,1,64.7049,1
2,5,3,7,4,2,67.6448,1
1,10,1,7,1,4,70.5855,1
2,9,1,4,1,1,52.9388,0
4,3,3,4,4,3,61.76530000000001,1
1,7,3,6,2,3,64.7034,1
2,10,1,1,1,3,52.940200000000004,0
1,8,2,2,1,3,49.998599999999996,0
3,6,4,3,3,4,67.6469,1
2,5,1,7,3,2,58.82170000000001,0
1,8,3,4,1,2,55.879799999999996,0
2,5,3,1,1,3,44.1177,0
1,10,2,6,2,4,73.52669999999999,1
2,2,1,3,1,3,35.294799999999995,0
4,4,4,1,3,4,58.825,0
2,6,3,7,2,2,64.7035,1
4,9,2,2,3,2,64.70519999999999,1
4,10,2,1,1,1,55.88139999999999,0
4,3,2,7,3,2,61.764300000000006,1
3,4,2,1,3,1,41.1765,0
2,1,3,4,1,2,38.235200000000006,0
1,6,3,7,4,2,67.644,1
4,10,3,2,5,1,73.52769999999998,1
4,9,4,2,4,2,73.52829999999999,1
1,10,4,5,1,1,64.7019,1
2,9,3,1,1,4,58.822900000000004,0
1,7,1,5,1,1,47.056200000000004,0
1,2,3,7,5,3,61.763099999999994,1
2,4,4,7,1,4,64.70479999999999,1
2,3,3,7,1,1,49.9981,0
4,7,1,3,5,2,64.7055,1
2,4,3,2,1,2,41.1761,0
1,8,4,7,5,4,85.2911,1
2,6,2,4,2,4,58.82300000000001,0
3,7,3,4,2,3,64.705,1
1,10,4,4,1,3,67.6442,1
3,1,4,2,4,2,47.059400000000004,0
3,1,1,2,1,1,26.4715,0
1,9,2,1,5,3,61.763000000000005,1
4,2,2,3,2,3,47.0603,0
4,10,3,5,4,2,82.3509,1
2,4,3,1,2,4,47.0595,0
1,2,1,5,1,1,32.351699999999994,0
4,10,4,3,5,2,82.35119999999999,1
2,6,3,4,1,1,49.99810000000001,0
1,9,2,2,1,2,49.9979,0
3,2,4,1,2,1,38.2356,0
1,10,4,2,3,1,61.7614,1
1,5,2,7,5,2,64.7032,1
3,3,3,3,1,2,44.1178,0
1,2,1,6,4,3,49.9991,0
2,3,2,3,5,4,55.8827,0
3,9,1,3,4,3,67.6461,1
4,9,4,3,2,2,70.58699999999999,1
3,2,3,4,4,3,55.8827,0
1,2,3,7,3,2,52.9393,0
3,3,4,4,1,1,47.058099999999996,0
4,7,2,4,1,2,58.823,0
3,8,4,4,5,2,76.4686,1
3,4,2,5,2,1,49.999,0
2,10,1,1,2,3,55.881299999999996,0
3,2,1,6,4,2,52.940900000000006,0
4,2,1,1,4,2,41.1781,0
1,8,3,1,5,2,58.8215,0
3,3,2,4,5,3,58.8237,0
1,10,4,2,2,2,61.7619,1
2,5,2,1,4,1,44.1168,0
1,1,1,4,5,4,47.0591,0
2,4,1,1,4,3,44.1181,0
